sheet,cell,old_formula_or_literal,new_formula_or_literal,old_cached_value,new_cached_value,change_kind
MASTER,E610,,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),1.0)",,1,formula_or_literal+cached_value
MASTER,F610,,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),5.0)",,5,formula_or_literal+cached_value
MASTER,G610,"=IFERROR(F610/E610,)","=IFERROR(F610/E610,)",,5,cached_value
MASTER,H610,"=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C610,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{7,8},0)))""),"""")","=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C610,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{7,8},0)))""),54.0)",,54,formula_or_literal+cached_value
MASTER,J610,"=IFERROR(I610/E610,)","=IFERROR(I610/E610,)",,0,cached_value
MASTER,C611,,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""PSF-730"")",,PSF-730,formula_or_literal+cached_value
MASTER,D611,"=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C611,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{3,4,5},0)))""),"""")","=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C611,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{3,4,5},0)))""),""CONNECTION PIPE 24 inch"")",,CONNECTION PIPE 24 inch,formula_or_literal+cached_value
MASTER,E611,,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),1.0)",,1,formula_or_literal+cached_value
MASTER,F611,,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),7.0)",,7,formula_or_literal+cached_value
MASTER,G611,"=IFERROR(F611/E611,)","=IFERROR(F611/E611,)",,7,cached_value
MASTER,H611,"=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C611,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{7,8},0)))""),"""")","=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C611,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{7,8},0)))""),72.0)",,72,formula_or_literal+cached_value
MASTER,J611,"=IFERROR(I611/E611,)","=IFERROR(I611/E611,)",,0,cached_value
MASTER,C612,,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""PSF-731"")",,PSF-731,formula_or_literal+cached_value
MASTER,D612,"=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C612,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{3,4,5},0)))""),"""")","=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C612,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{3,4,5},0)))""),""CONNECTION PIPE 30 inch"")",,CONNECTION PIPE 30 inch,formula_or_literal+cached_value
MASTER,E612,,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),1.0)",,1,formula_or_literal+cached_value
MASTER,F612,,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),7.0)",,7,formula_or_literal+cached_value
MASTER,G612,"=IFERROR(F612/E612,)","=IFERROR(F612/E612,)",,7,cached_value
MASTER,H612,"=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C612,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{7,8},0)))""),"""")","=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C612,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{7,8},0)))""),88.0)",,88,formula_or_literal+cached_value
MASTER,J612,"=IFERROR(I612/E612,)","=IFERROR(I612/E612,)",,0,cached_value
MASTER,C613,,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""PSF-732"")",,PSF-732,formula_or_literal+cached_value
MASTER,D613,"=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C613,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{3,4,5},0)))""),"""")","=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C613,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{3,4,5},0)))""),""CONNECTION PIPE 36 inch"")",,CONNECTION PIPE 36 inch,formula_or_literal+cached_value
MASTER,E613,,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),1.0)",,1,formula_or_literal+cached_value
MASTER,F613,,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),8.0)",,8,formula_or_literal+cached_value
MASTER,G613,"=IFERROR(F613/E613,)","=IFERROR(F613/E613,)",,8,cached_value
MASTER,H613,"=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C613,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{7,8},0)))""),"""")","=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C613,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{7,8},0)))""),94.0)",,94,formula_or_literal+cached_value
MASTER,J613,"=IFERROR(I613/E613,)","=IFERROR(I613/E613,)",,0,cached_value
MASTER,C614,,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""PSF-733"")",,PSF-733,formula_or_literal+cached_value
MASTER,D614,"=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C614,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{3,4,5},0)))""),"""")","=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C614,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{3,4,5},0)))""),""CONNECTION PIPE 40 inch"")",,CONNECTION PIPE 40 inch,formula_or_literal+cached_value
MASTER,E614,,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),1.0)",,1,formula_or_literal+cached_value
MASTER,F614,,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),9.0)",,9,formula_or_literal+cached_value
MASTER,G614,"=IFERROR(F614/E614,)","=IFERROR(F614/E614,)",,9,cached_value
MASTER,H614,"=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C614,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{7,8},0)))""),"""")","=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C614,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{7,8},0)))""),115.0)",,115,formula_or_literal+cached_value
MASTER,J614,"=IFERROR(I614/E614,)","=IFERROR(I614/E614,)",,0,cached_value
MASTER,C615,,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""PSF-734"")",,PSF-734,formula_or_literal+cached_value
MASTER,D615,"=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C615,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{3,4,5},0)))""),"""")","=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C615,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{3,4,5},0)))""),""CONNECTION PIPE 48 inch"")",,CONNECTION PIPE 48 inch,formula_or_literal+cached_value
MASTER,E615,,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),1.0)",,1,formula_or_literal+cached_value
MASTER,F615,,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),10.0)",,10,formula_or_literal+cached_value
MASTER,G615,"=IFERROR(F615/E615,)","=IFERROR(F615/E615,)",,10,cached_value
MASTER,H615,"=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C615,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{7,8},0)))""),"""")","=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C615,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{7,8},0)))""),140.0)",,140,formula_or_literal+cached_value
MASTER,J615,"=IFERROR(I615/E615,)","=IFERROR(I615/E615,)",,0,cached_value
MASTER,C616,,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""PSF-735"")",,PSF-735,formula_or_literal+cached_value
MASTER,D616,"=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C616,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{3,4,5},0)))""),"""")","=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C616,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{3,4,5},0)))""),""CONNECTION PIPE 60 inch"")",,CONNECTION PIPE 60 inch,formula_or_literal+cached_value
MASTER,E616,,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),1.0)",,1,formula_or_literal+cached_value
MASTER,F616,,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),11.0)",,11,formula_or_literal+cached_value
MASTER,G616,"=IFERROR(F616/E616,)","=IFERROR(F616/E616,)",,11,cached_value
MASTER,H616,"=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C616,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{7,8},0)))""),"""")","=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C616,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{7,8},0)))""),175.0)",,175,formula_or_literal+cached_value
MASTER,J616,"=IFERROR(I616/E616,)","=IFERROR(I616/E616,)",,0,cached_value
MASTER,C617,,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""PSF-736"")",,PSF-736,formula_or_literal+cached_value
MASTER,D617,"=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C617,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{3,4,5},0)))""),"""")","=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C617,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{3,4,5},0)))""),""TALL HIGHT PILLER COCK INTERNAL"")",,TALL HIGHT PILLER COCK INTERNAL,formula_or_literal+cached_value
MASTER,E617,,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),1.0)",,1,formula_or_literal+cached_value
MASTER,F617,,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),100.0)",,100,formula_or_literal+cached_value
MASTER,G617,"=IFERROR(F617/E617,)","=IFERROR(F617/E617,)",,100,cached_value
MASTER,H617,"=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C617,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{7,8},0)))""),"""")","=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C617,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{7,8},0)))""),220.0)",,220,formula_or_literal+cached_value
MASTER,J617,"=IFERROR(I617/E617,)","=IFERROR(I617/E617,)",,0,cached_value
MASTER,C618,,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""PSF-737"")",,PSF-737,formula_or_literal+cached_value
MASTER,D618,"=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C618,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{3,4,5},0)))""),"""")","=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C618,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{3,4,5},0)))""),""TALL HIGHT PILLER COCK OUTER"")",,TALL HIGHT PILLER COCK OUTER,formula_or_literal+cached_value
MASTER,E618,,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),1.0)",,1,formula_or_literal+cached_value
MASTER,F618,,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),100.0)",,100,formula_or_literal+cached_value
MASTER,G618,"=IFERROR(F618/E618,)","=IFERROR(F618/E618,)",,100,cached_value
MASTER,H618,"=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C618,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{7,8},0)))""),"""")","=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C618,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{7,8},0)))""),480.0)",,480,formula_or_literal+cached_value
