sheet,cell,old_formula_or_literal,new_formula_or_literal,old_cached_value,new_cached_value,change_kind
Report-6 (B),BE62,P,C,P,C,formula_or_literal+cached_value
Report-6 (B),BH62,2.0,1.0,2.0,1.0,formula_or_literal+cached_value
Report-6 (B),BJ62,,2.0,,2.0,formula_or_literal+cached_value
Report-6 (B),BK62,,P,,P,formula_or_literal+cached_value
Report-6 (B),BL62,2.0,,2.0,,formula_or_literal+cached_value
Report-6 (B),BM62,P,,P,,formula_or_literal+cached_value
Report-6 (B),BN62,,2.0,,2.0,formula_or_literal+cached_value
Report-6 (B),BO62,,P,,P,formula_or_literal+cached_value
Report-6 (B),E63,=SUM(E59:E62),=SUM(E59:E62),24,16,cached_value
Report-6 (B),F63,=SUM(F59:F62),=SUM(F59:F62),1,8,cached_value
Report-6 (B),G63,,=SUM(G59:G62),,24,formula_or_literal+cached_value
Report-6 (B),H63,=SUM(H59:H62),=SUM(H59:H62),0,1,cached_value
Report-6 (B),L63,=SUM(L59:L62),=SUM(L59:L62),2,0,cached_value
Report-6 (B),N63,=SUM(N59:N62),=SUM(N59:N62),1,2,cached_value
Report-6 (B),R63,=SUM(R59:R62),=SUM(R59:R62),0,1,cached_value
Report-6 (B),T63,=SUM(T59:T62),=SUM(T59:T62),2,0,cached_value
Report-6 (B),V63,=SUM(V59:V62),=SUM(V59:V62),4,2,cached_value
Report-6 (B),X63,=SUM(X59:X62),=SUM(X59:X62),0,4,cached_value
Report-6 (B),AD63,=SUM(AD59:AD62),=SUM(AD59:AD62),1,0,cached_value
Report-6 (B),AF63,=SUM(AF59:AF62),=SUM(AF59:AF62),0,1,cached_value
Report-6 (B),BB63,=SUM(BB59:BB62),=SUM(BB59:BB62),3,0,cached_value
Report-6 (B),BD63,=SUM(BD59:BD62),=SUM(BD59:BD62),1,3,cached_value
Report-6 (B),BH63,=SUM(BH59:BH62),=SUM(BH59:BH62),4,1,cached_value
Report-6 (B),BJ63,=SUM(BJ59:BJ62),=SUM(BJ59:BJ62),0,4,cached_value
Report-6 (B),BL63,=SUM(BL59:BL62),=SUM(BL59:BL62),3,0,cached_value
Report-6 (B),BN63,=SUM(BN59:BN62),=SUM(BN59:BN62),0,3,cached_value
Report-6 (B),BP63,,=SUM(BP59:BP62),,0,formula_or_literal+cached_value
Report-6 (C),E3,Shift,On-Roll,Shift,On-Roll,formula_or_literal+cached_value
Report-6 (C),F3,2026-05-01 00:00:00,On-Cont.,2026-05-01 00:00:00,On-Cont.,formula_or_literal+cached_value
Report-6 (C),G3,,Roll+Cont.,,Roll+Cont.,formula_or_literal+cached_value
Report-6 (C),H3,"=IF(F3<>"""",IF(DAY(F3+1)<DAY(F3),"""",F3+1),"""")",2026-05-01 00:00:00,2026-05-02 00:00:00,2026-05-01 00:00:00,formula_or_literal+cached_value
Report-6 (C),J3,"=IF(H3<>"""",IF(DAY(H3+1)<DAY(H3),"""",H3+1),"""")","=IF(H3<>"""",IF(DAY(H3+1)<DAY(H3),"""",H3+1),"""")",2026-05-03 00:00:00,2026-05-02 00:00:00,cached_value
Report-6 (C),L3,"=IF(J3<>"""",IF(DAY(J3+1)<DAY(J3),"""",J3+1),"""")","=IF(J3<>"""",IF(DAY(J3+1)<DAY(J3),"""",J3+1),"""")",2026-05-04 00:00:00,2026-05-03 00:00:00,cached_value
Report-6 (C),N3,"=IF(L3<>"""",IF(DAY(L3+1)<DAY(L3),"""",L3+1),"""")","=IF(L3<>"""",IF(DAY(L3+1)<DAY(L3),"""",L3+1),"""")",2026-05-05 00:00:00,2026-05-04 00:00:00,cached_value
Report-6 (C),P3,"=IF(N3<>"""",IF(DAY(N3+1)<DAY(N3),"""",N3+1),"""")","=IF(N3<>"""",IF(DAY(N3+1)<DAY(N3),"""",N3+1),"""")",2026-05-06 00:00:00,2026-05-05 00:00:00,cached_value
Report-6 (C),R3,"=IF(P3<>"""",IF(DAY(P3+1)<DAY(P3),"""",P3+1),"""")","=IF(P3<>"""",IF(DAY(P3+1)<DAY(P3),"""",P3+1),"""")",2026-05-07 00:00:00,2026-05-06 00:00:00,cached_value
Report-6 (C),T3,"=IF(R3<>"""",IF(DAY(R3+1)<DAY(R3),"""",R3+1),"""")","=IF(R3<>"""",IF(DAY(R3+1)<DAY(R3),"""",R3+1),"""")",2026-05-08 00:00:00,2026-05-07 00:00:00,cached_value
Report-6 (C),V3,"=IF(T3<>"""",IF(DAY(T3+1)<DAY(T3),"""",T3+1),"""")","=IF(T3<>"""",IF(DAY(T3+1)<DAY(T3),"""",T3+1),"""")",2026-05-09 00:00:00,2026-05-08 00:00:00,cached_value
Report-6 (C),X3,"=IF(V3<>"""",IF(DAY(V3+1)<DAY(V3),"""",V3+1),"""")","=IF(V3<>"""",IF(DAY(V3+1)<DAY(V3),"""",V3+1),"""")",2026-05-10 00:00:00,2026-05-09 00:00:00,cached_value
Report-6 (C),Z3,"=IF(X3<>"""",IF(DAY(X3+1)<DAY(X3),"""",X3+1),"""")","=IF(X3<>"""",IF(DAY(X3+1)<DAY(X3),"""",X3+1),"""")",2026-05-11 00:00:00,2026-05-10 00:00:00,cached_value
Report-6 (C),AB3,"=IF(Z3<>"""",IF(DAY(Z3+1)<DAY(Z3),"""",Z3+1),"""")","=IF(Z3<>"""",IF(DAY(Z3+1)<DAY(Z3),"""",Z3+1),"""")",2026-05-12 00:00:00,2026-05-11 00:00:00,cached_value
Report-6 (C),AD3,"=IF(AB3<>"""",IF(DAY(AB3+1)<DAY(AB3),"""",AB3+1),"""")","=IF(AB3<>"""",IF(DAY(AB3+1)<DAY(AB3),"""",AB3+1),"""")",2026-05-13 00:00:00,2026-05-12 00:00:00,cached_value
Report-6 (C),AF3,"=IF(AD3<>"""",IF(DAY(AD3+1)<DAY(AD3),"""",AD3+1),"""")","=IF(AD3<>"""",IF(DAY(AD3+1)<DAY(AD3),"""",AD3+1),"""")",2026-05-14 00:00:00,2026-05-13 00:00:00,cached_value
Report-6 (C),AH3,"=IF(AF3<>"""",IF(DAY(AF3+1)<DAY(AF3),"""",AF3+1),"""")","=IF(AF3<>"""",IF(DAY(AF3+1)<DAY(AF3),"""",AF3+1),"""")",2026-05-15 00:00:00,2026-05-14 00:00:00,cached_value
Report-6 (C),AJ3,"=IF(AH3<>"""",IF(DAY(AH3+1)<DAY(AH3),"""",AH3+1),"""")","=IF(AH3<>"""",IF(DAY(AH3+1)<DAY(AH3),"""",AH3+1),"""")",2026-05-16 00:00:00,2026-05-15 00:00:00,cached_value
Report-6 (C),AL3,"=IF(AJ3<>"""",IF(DAY(AJ3+1)<DAY(AJ3),"""",AJ3+1),"""")","=IF(AJ3<>"""",IF(DAY(AJ3+1)<DAY(AJ3),"""",AJ3+1),"""")",2026-05-17 00:00:00,2026-05-16 00:00:00,cached_value
Report-6 (C),AN3,"=IF(AL3<>"""",IF(DAY(AL3+1)<DAY(AL3),"""",AL3+1),"""")","=IF(AL3<>"""",IF(DAY(AL3+1)<DAY(AL3),"""",AL3+1),"""")",2026-05-18 00:00:00,2026-05-17 00:00:00,cached_value
Report-6 (C),AP3,"=IF(AN3<>"""",IF(DAY(AN3+1)<DAY(AN3),"""",AN3+1),"""")","=IF(AN3<>"""",IF(DAY(AN3+1)<DAY(AN3),"""",AN3+1),"""")",2026-05-19 00:00:00,2026-05-18 00:00:00,cached_value
Report-6 (C),AR3,"=IF(AP3<>"""",IF(DAY(AP3+1)<DAY(AP3),"""",AP3+1),"""")","=IF(AP3<>"""",IF(DAY(AP3+1)<DAY(AP3),"""",AP3+1),"""")",2026-05-20 00:00:00,2026-05-19 00:00:00,cached_value
Report-6 (C),AT3,"=IF(AR3<>"""",IF(DAY(AR3+1)<DAY(AR3),"""",AR3+1),"""")","=IF(AR3<>"""",IF(DAY(AR3+1)<DAY(AR3),"""",AR3+1),"""")",2026-05-21 00:00:00,2026-05-20 00:00:00,cached_value
Report-6 (C),AV3,"=IF(AT3<>"""",IF(DAY(AT3+1)<DAY(AT3),"""",AT3+1),"""")","=IF(AT3<>"""",IF(DAY(AT3+1)<DAY(AT3),"""",AT3+1),"""")",2026-05-22 00:00:00,2026-05-21 00:00:00,cached_value
Report-6 (C),AX3,"=IF(AV3<>"""",IF(DAY(AV3+1)<DAY(AV3),"""",AV3+1),"""")","=IF(AV3<>"""",IF(DAY(AV3+1)<DAY(AV3),"""",AV3+1),"""")",2026-05-23 00:00:00,2026-05-22 00:00:00,cached_value
Report-6 (C),AZ3,"=IF(AX3<>"""",IF(DAY(AX3+1)<DAY(AX3),"""",AX3+1),"""")","=IF(AX3<>"""",IF(DAY(AX3+1)<DAY(AX3),"""",AX3+1),"""")",2026-05-24 00:00:00,2026-05-23 00:00:00,cached_value
Report-6 (C),BB3,"=IF(AZ3<>"""",IF(DAY(AZ3+1)<DAY(AZ3),"""",AZ3+1),"""")","=IF(AZ3<>"""",IF(DAY(AZ3+1)<DAY(AZ3),"""",AZ3+1),"""")",2026-05-25 00:00:00,2026-05-24 00:00:00,cached_value
Report-6 (C),BD3,"=IF(BB3<>"""",IF(DAY(BB3+1)<DAY(BB3),"""",BB3+1),"""")","=IF(BB3<>"""",IF(DAY(BB3+1)<DAY(BB3),"""",BB3+1),"""")",2026-05-26 00:00:00,2026-05-25 00:00:00,cached_value
Report-6 (C),BF3,"=IF(BD3<>"""",IF(DAY(BD3+1)<DAY(BD3),"""",BD3+1),"""")","=IF(BD3<>"""",IF(DAY(BD3+1)<DAY(BD3),"""",BD3+1),"""")",2026-05-27 00:00:00,2026-05-26 00:00:00,cached_value
Report-6 (C),BH3,"=IF(BF3<>"""",IF(DAY(BF3+1)<DAY(BF3),"""",BF3+1),"""")","=IF(BF3<>"""",IF(DAY(BF3+1)<DAY(BF3),"""",BF3+1),"""")",2026-05-28 00:00:00,2026-05-27 00:00:00,cached_value
Report-6 (C),BJ3,"=IF(BH3<>"""",IF(DAY(BH3+1)<DAY(BH3),"""",BH3+1),"""")","=IF(BH3<>"""",IF(DAY(BH3+1)<DAY(BH3),"""",BH3+1),"""")",2026-05-29 00:00:00,2026-05-28 00:00:00,cached_value
Report-6 (C),BL3,"=IF(BJ3<>"""",IF(DAY(BJ3+1)<DAY(BJ3),"""",BJ3+1),"""")","=IF(BJ3<>"""",IF(DAY(BJ3+1)<DAY(BJ3),"""",BJ3+1),"""")",2026-05-30 00:00:00,2026-05-29 00:00:00,cached_value
Report-6 (C),BN3,"=IF(BL3<>"""",IF(DAY(BL3+1)<DAY(BL3),"""",BL3+1),"""")","=IF(BL3<>"""",IF(DAY(BL3+1)<DAY(BL3),"""",BL3+1),"""")",2026-05-31 00:00:00,2026-05-30 00:00:00,cached_value
Report-6 (C),BP3,,"=IF(BN3<>"""",IF(DAY(BN3+1)<DAY(BN3),"""",BN3+1),"""")",,2026-05-31 00:00:00,formula_or_literal+cached_value
Report-6 (C),E4,3rd,3rd Shift,3rd,3rd Shift,formula_or_literal+cached_value
Report-6 (C),F4,3rd,,3rd,,formula_or_literal+cached_value
Report-6 (C),G4,Type,TOTAL,Type,TOTAL,formula_or_literal+cached_value
Report-6 (C),H4,3rd,No.,3rd,No.,formula_or_literal+cached_value
Report-6 (C),J4,3rd,No.,3rd,No.,formula_or_literal+cached_value
Report-6 (C),L4,3rd,No.,3rd,No.,formula_or_literal+cached_value
Report-6 (C),N4,3rd,No.,3rd,No.,formula_or_literal+cached_value
Report-6 (C),P4,3rd,No.,3rd,No.,formula_or_literal+cached_value
Report-6 (C),R4,3rd,No.,3rd,No.,formula_or_literal+cached_value
Report-6 (C),T4,3rd,No.,3rd,No.,formula_or_literal+cached_value
Report-6 (C),V4,3rd,No.,3rd,No.,formula_or_literal+cached_value
Report-6 (C),X4,3rd,No.,3rd,No.,formula_or_literal+cached_value
Report-6 (C),Z4,3rd,No.,3rd,No.,formula_or_literal+cached_value
Report-6 (C),AB4,3rd,No.,3rd,No.,formula_or_literal+cached_value
Report-6 (C),AD4,3rd,No.,3rd,No.,formula_or_literal+cached_value
Report-6 (C),AF4,3rd,No.,3rd,No.,formula_or_literal+cached_value
Report-6 (C),AH4,3rd,No.,3rd,No.,formula_or_literal+cached_value
Report-6 (C),AJ4,3rd,No.,3rd,No.,formula_or_literal+cached_value
Report-6 (C),AL4,3rd,No.,3rd,No.,formula_or_literal+cached_value
Report-6 (C),AN4,3rd,No.,3rd,No.,formula_or_literal+cached_value
Report-6 (C),AP4,3rd,No.,3rd,No.,formula_or_literal+cached_value
Report-6 (C),AR4,3rd,No.,3rd,No.,formula_or_literal+cached_value
Report-6 (C),AT4,3rd,No.,3rd,No.,formula_or_literal+cached_value
Report-6 (C),AV4,3rd,No.,3rd,No.,formula_or_literal+cached_value
Report-6 (C),AX4,3rd,No.,3rd,No.,formula_or_literal+cached_value
Report-6 (C),AZ4,3rd,No.,3rd,No.,formula_or_literal+cached_value
Report-6 (C),BB4,3rd,No.,3rd,No.,formula_or_literal+cached_value
Report-6 (C),BD4,3rd,No.,3rd,No.,formula_or_literal+cached_value
Report-6 (C),BF4,3rd,No.,3rd,No.,formula_or_literal+cached_value
Report-6 (C),BH4,3rd,No.,3rd,No.,formula_or_literal+cached_value
Report-6 (C),BJ4,3rd,No.,3rd,No.,formula_or_literal+cached_value
Report-6 (C),BL4,3rd,No.,3rd,No.,formula_or_literal+cached_value
Report-6 (C),BN4,3rd,No.,3rd,No.,formula_or_literal+cached_value
Report-6 (C),BP4,,No.,,No.,formula_or_literal+cached_value
Report-6 (C),BQ4,,Type,,Type,formula_or_literal+cached_value
Report-6 (C),E5,"=SUM(F5,H5,J5,L5,N5,P5,R5,T5,V5,X5,Z5,AB5,AD5,AF5,AH5,AJ5,AL5,AN5,AP5,AR5,AT5,AV5,AX5,AZ5,BB5,BD5,BF5,BH5,BJ5,BL5,BN5)","=IF(I5=""p"",H5,"""")+IF(K5=""P"",J5,"""")+IF(M5=""P"",L5)+IF(O5=""P"",N5)+IF(Q5=""P"",P5)+IF(S5=""P"",R5)+IF(U5=""P"",T5)+IF(W5=""P"",V5)+IF(Y5=""P"",X5)+IF(AA5=""P"",Z5)+IF(AC5=""P"",AB5)+IF(AE5=""P"",AD5)+IF(AG5=""P"",AF5)+IF(AI5=""P"",AH5)+IF(AK5=""P"",AJ5)+IF(AM5=""P"",AL5)+IF(AO5=""P"",AN5)+IF(AQ5=""P"",AP5)+IF(AS5=""P"",AR5)+IF(AU5=""P"",AT5)+IF(AW5=""P"",AV5)+IF(AY5=""P"",AX5)+IF(BA5=""P"",AZ5)+IF(BC5=""P"",BB5)+IF(BE5=""P"",BD5)+IF(BG5=""P"",BF5)+IF(BI5=""P"",BH5)+IF(BK5=""P"",BJ5)+IF(BM5=""P"",BL5)+IF(BO5=""P"",BN5)+IF(BQ5=""P"",BP5)",0,0,formula_or_literal
Report-6 (C),F5,,"=IF(I5=""C"",H5,"""")+IF(K5=""C"",J5,"""")+IF(M5=""C"",L5)+IF(O5=""C"",N5)+IF(Q5=""C"",P5)+IF(S5=""C"",R5)+IF(U5=""C"",T5)+IF(W5=""C"",V5)+IF(Y5=""C"",X5)+IF(AA5=""C"",Z5)+IF(AC5=""C"",AB5)+IF(AE5=""C"",AD5)+IF(AG5=""C"",AF5)+IF(AI5=""C"",AH5)+IF(AK5=""C"",AJ5)+IF(AM5=""C"",AL5)+IF(AO5=""C"",AN5)+IF(AQ5=""C"",AP5)+IF(AS5=""C"",AR5)+IF(AU5=""C"",AT5)+IF(AW5=""C"",AV5)+IF(AY5=""C"",AX5)+IF(BA5=""C"",AZ5)+IF(BC5=""C"",BB5)+IF(BE5=""C"",BD5)+IF(BG5=""C"",BF5)+IF(BI5=""C"",BH5)+IF(BK5=""C"",BJ5)+IF(BM5=""C"",BL5)+IF(BO5=""C"",BN5)+IF(BQ5=""C"",BP5)",,0,formula_or_literal+cached_value
Report-6 (C),G5,,=SUM(E5:F5),,0,formula_or_literal+cached_value
Report-6 (C),E6,"=SUM(F6,H6,J6,L6,N6,P6,R6,T6,V6,X6,Z6,AB6,AD6,AF6,AH6,AJ6,AL6,AN6,AP6,AR6,AT6,AV6,AX6,AZ6,BB6,BD6,BF6,BH6,BJ6,BL6,BN6)","=IF(I6=""p"",H6,"""")+IF(K6=""P"",J6,"""")+IF(M6=""P"",L6)+IF(O6=""P"",N6)+IF(Q6=""P"",P6)+IF(S6=""P"",R6)+IF(U6=""P"",T6)+IF(W6=""P"",V6)+IF(Y6=""P"",X6)+IF(AA6=""P"",Z6)+IF(AC6=""P"",AB6)+IF(AE6=""P"",AD6)+IF(AG6=""P"",AF6)+IF(AI6=""P"",AH6)+IF(AK6=""P"",AJ6)+IF(AM6=""P"",AL6)+IF(AO6=""P"",AN6)+IF(AQ6=""P"",AP6)+IF(AS6=""P"",AR6)+IF(AU6=""P"",AT6)+IF(AW6=""P"",AV6)+IF(AY6=""P"",AX6)+IF(BA6=""P"",AZ6)+IF(BC6=""P"",BB6)+IF(BE6=""P"",BD6)+IF(BG6=""P"",BF6)+IF(BI6=""P"",BH6)+IF(BK6=""P"",BJ6)+IF(BM6=""P"",BL6)+IF(BO6=""P"",BN6)+IF(BQ6=""P"",BP6)",0,0,formula_or_literal
Report-6 (C),F6,,"=IF(I6=""C"",H6,"""")+IF(K6=""C"",J6,"""")+IF(M6=""C"",L6)+IF(O6=""C"",N6)+IF(Q6=""C"",P6)+IF(S6=""C"",R6)+IF(U6=""C"",T6)+IF(W6=""C"",V6)+IF(Y6=""C"",X6)+IF(AA6=""C"",Z6)+IF(AC6=""C"",AB6)+IF(AE6=""C"",AD6)+IF(AG6=""C"",AF6)+IF(AI6=""C"",AH6)+IF(AK6=""C"",AJ6)+IF(AM6=""C"",AL6)+IF(AO6=""C"",AN6)+IF(AQ6=""C"",AP6)+IF(AS6=""C"",AR6)+IF(AU6=""C"",AT6)+IF(AW6=""C"",AV6)+IF(AY6=""C"",AX6)+IF(BA6=""C"",AZ6)+IF(BC6=""C"",BB6)+IF(BE6=""C"",BD6)+IF(BG6=""C"",BF6)+IF(BI6=""C"",BH6)+IF(BK6=""C"",BJ6)+IF(BM6=""C"",BL6)+IF(BO6=""C"",BN6)+IF(BQ6=""C"",BP6)",,0,formula_or_literal+cached_value
Report-6 (C),G6,,=SUM(E6:F6),,0,formula_or_literal+cached_value
Report-6 (C),E7,"=SUM(F7,H7,J7,L7,N7,P7,R7,T7,V7,X7,Z7,AB7,AD7,AF7,AH7,AJ7,AL7,AN7,AP7,AR7,AT7,AV7,AX7,AZ7,BB7,BD7,BF7,BH7,BJ7,BL7,BN7)","=IF(I7=""p"",H7,"""")+IF(K7=""P"",J7,"""")+IF(M7=""P"",L7)+IF(O7=""P"",N7)+IF(Q7=""P"",P7)+IF(S7=""P"",R7)+IF(U7=""P"",T7)+IF(W7=""P"",V7)+IF(Y7=""P"",X7)+IF(AA7=""P"",Z7)+IF(AC7=""P"",AB7)+IF(AE7=""P"",AD7)+IF(AG7=""P"",AF7)+IF(AI7=""P"",AH7)+IF(AK7=""P"",AJ7)+IF(AM7=""P"",AL7)+IF(AO7=""P"",AN7)+IF(AQ7=""P"",AP7)+IF(AS7=""P"",AR7)+IF(AU7=""P"",AT7)+IF(AW7=""P"",AV7)+IF(AY7=""P"",AX7)+IF(BA7=""P"",AZ7)+IF(BC7=""P"",BB7)+IF(BE7=""P"",BD7)+IF(BG7=""P"",BF7)+IF(BI7=""P"",BH7)+IF(BK7=""P"",BJ7)+IF(BM7=""P"",BL7)+IF(BO7=""P"",BN7)+IF(BQ7=""P"",BP7)",0,0,formula_or_literal
Report-6 (C),F7,,"=IF(I7=""C"",H7,"""")+IF(K7=""C"",J7,"""")+IF(M7=""C"",L7)+IF(O7=""C"",N7)+IF(Q7=""C"",P7)+IF(S7=""C"",R7)+IF(U7=""C"",T7)+IF(W7=""C"",V7)+IF(Y7=""C"",X7)+IF(AA7=""C"",Z7)+IF(AC7=""C"",AB7)+IF(AE7=""C"",AD7)+IF(AG7=""C"",AF7)+IF(AI7=""C"",AH7)+IF(AK7=""C"",AJ7)+IF(AM7=""C"",AL7)+IF(AO7=""C"",AN7)+IF(AQ7=""C"",AP7)+IF(AS7=""C"",AR7)+IF(AU7=""C"",AT7)+IF(AW7=""C"",AV7)+IF(AY7=""C"",AX7)+IF(BA7=""C"",AZ7)+IF(BC7=""C"",BB7)+IF(BE7=""C"",BD7)+IF(BG7=""C"",BF7)+IF(BI7=""C"",BH7)+IF(BK7=""C"",BJ7)+IF(BM7=""C"",BL7)+IF(BO7=""C"",BN7)+IF(BQ7=""C"",BP7)",,0,formula_or_literal+cached_value
Report-6 (C),G7,,=SUM(E7:F7),,0,formula_or_literal+cached_value
Report-6 (C),E8,"=SUM(F8,H8,J8,L8,N8,P8,R8,T8,V8,X8,Z8,AB8,AD8,AF8,AH8,AJ8,AL8,AN8,AP8,AR8,AT8,AV8,AX8,AZ8,BB8,BD8,BF8,BH8,BJ8,BL8,BN8)","=IF(I8=""p"",H8,"""")+IF(K8=""P"",J8,"""")+IF(M8=""P"",L8)+IF(O8=""P"",N8)+IF(Q8=""P"",P8)+IF(S8=""P"",R8)+IF(U8=""P"",T8)+IF(W8=""P"",V8)+IF(Y8=""P"",X8)+IF(AA8=""P"",Z8)+IF(AC8=""P"",AB8)+IF(AE8=""P"",AD8)+IF(AG8=""P"",AF8)+IF(AI8=""P"",AH8)+IF(AK8=""P"",AJ8)+IF(AM8=""P"",AL8)+IF(AO8=""P"",AN8)+IF(AQ8=""P"",AP8)+IF(AS8=""P"",AR8)+IF(AU8=""P"",AT8)+IF(AW8=""P"",AV8)+IF(AY8=""P"",AX8)+IF(BA8=""P"",AZ8)+IF(BC8=""P"",BB8)+IF(BE8=""P"",BD8)+IF(BG8=""P"",BF8)+IF(BI8=""P"",BH8)+IF(BK8=""P"",BJ8)+IF(BM8=""P"",BL8)+IF(BO8=""P"",BN8)+IF(BQ8=""P"",BP8)",0,0,formula_or_literal
Report-6 (C),F8,,"=IF(I8=""C"",H8,"""")+IF(K8=""C"",J8,"""")+IF(M8=""C"",L8)+IF(O8=""C"",N8)+IF(Q8=""C"",P8)+IF(S8=""C"",R8)+IF(U8=""C"",T8)+IF(W8=""C"",V8)+IF(Y8=""C"",X8)+IF(AA8=""C"",Z8)+IF(AC8=""C"",AB8)+IF(AE8=""C"",AD8)+IF(AG8=""C"",AF8)+IF(AI8=""C"",AH8)+IF(AK8=""C"",AJ8)+IF(AM8=""C"",AL8)+IF(AO8=""C"",AN8)+IF(AQ8=""C"",AP8)+IF(AS8=""C"",AR8)+IF(AU8=""C"",AT8)+IF(AW8=""C"",AV8)+IF(AY8=""C"",AX8)+IF(BA8=""C"",AZ8)+IF(BC8=""C"",BB8)+IF(BE8=""C"",BD8)+IF(BG8=""C"",BF8)+IF(BI8=""C"",BH8)+IF(BK8=""C"",BJ8)+IF(BM8=""C"",BL8)+IF(BO8=""C"",BN8)+IF(BQ8=""C"",BP8)",,0,formula_or_literal+cached_value
Report-6 (C),G8,,=SUM(E8:F8),,0,formula_or_literal+cached_value
Report-6 (C),E9,"=SUM(F9,H9,J9,L9,N9,P9,R9,T9,V9,X9,Z9,AB9,AD9,AF9,AH9,AJ9,AL9,AN9,AP9,AR9,AT9,AV9,AX9,AZ9,BB9,BD9,BF9,BH9,BJ9,BL9,BN9)","=IF(I9=""p"",H9,"""")+IF(K9=""P"",J9,"""")+IF(M9=""P"",L9)+IF(O9=""P"",N9)+IF(Q9=""P"",P9)+IF(S9=""P"",R9)+IF(U9=""P"",T9)+IF(W9=""P"",V9)+IF(Y9=""P"",X9)+IF(AA9=""P"",Z9)+IF(AC9=""P"",AB9)+IF(AE9=""P"",AD9)+IF(AG9=""P"",AF9)+IF(AI9=""P"",AH9)+IF(AK9=""P"",AJ9)+IF(AM9=""P"",AL9)+IF(AO9=""P"",AN9)+IF(AQ9=""P"",AP9)+IF(AS9=""P"",AR9)+IF(AU9=""P"",AT9)+IF(AW9=""P"",AV9)+IF(AY9=""P"",AX9)+IF(BA9=""P"",AZ9)+IF(BC9=""P"",BB9)+IF(BE9=""P"",BD9)+IF(BG9=""P"",BF9)+IF(BI9=""P"",BH9)+IF(BK9=""P"",BJ9)+IF(BM9=""P"",BL9)+IF(BO9=""P"",BN9)+IF(BQ9=""P"",BP9)",0,0,formula_or_literal
Report-6 (C),F9,,"=IF(I9=""C"",H9,"""")+IF(K9=""C"",J9,"""")+IF(M9=""C"",L9)+IF(O9=""C"",N9)+IF(Q9=""C"",P9)+IF(S9=""C"",R9)+IF(U9=""C"",T9)+IF(W9=""C"",V9)+IF(Y9=""C"",X9)+IF(AA9=""C"",Z9)+IF(AC9=""C"",AB9)+IF(AE9=""C"",AD9)+IF(AG9=""C"",AF9)+IF(AI9=""C"",AH9)+IF(AK9=""C"",AJ9)+IF(AM9=""C"",AL9)+IF(AO9=""C"",AN9)+IF(AQ9=""C"",AP9)+IF(AS9=""C"",AR9)+IF(AU9=""C"",AT9)+IF(AW9=""C"",AV9)+IF(AY9=""C"",AX9)+IF(BA9=""C"",AZ9)+IF(BC9=""C"",BB9)+IF(BE9=""C"",BD9)+IF(BG9=""C"",BF9)+IF(BI9=""C"",BH9)+IF(BK9=""C"",BJ9)+IF(BM9=""C"",BL9)+IF(BO9=""C"",BN9)+IF(BQ9=""C"",BP9)",,0,formula_or_literal+cached_value
Report-6 (C),G9,,=SUM(E9:F9),,0,formula_or_literal+cached_value
Report-6 (C),E10,"=SUM(F10,H10,J10,L10,N10,P10,R10,T10,V10,X10,Z10,AB10,AD10,AF10,AH10,AJ10,AL10,AN10,AP10,AR10,AT10,AV10,AX10,AZ10,BB10,BD10,BF10,BH10,BJ10,BL10,BN10)","=IF(I10=""p"",H10,"""")+IF(K10=""P"",J10,"""")+IF(M10=""P"",L10)+IF(O10=""P"",N10)+IF(Q10=""P"",P10)+IF(S10=""P"",R10)+IF(U10=""P"",T10)+IF(W10=""P"",V10)+IF(Y10=""P"",X10)+IF(AA10=""P"",Z10)+IF(AC10=""P"",AB10)+IF(AE10=""P"",AD10)+IF(AG10=""P"",AF10)+IF(AI10=""P"",AH10)+IF(AK10=""P"",AJ10)+IF(AM10=""P"",AL10)+IF(AO10=""P"",AN10)+IF(AQ10=""P"",AP10)+IF(AS10=""P"",AR10)+IF(AU10=""P"",AT10)+IF(AW10=""P"",AV10)+IF(AY10=""P"",AX10)+IF(BA10=""P"",AZ10)+IF(BC10=""P"",BB10)+IF(BE10=""P"",BD10)+IF(BG10=""P"",BF10)+IF(BI10=""P"",BH10)+IF(BK10=""P"",BJ10)+IF(BM10=""P"",BL10)+IF(BO10=""P"",BN10)+IF(BQ10=""P"",BP10)",0,0,formula_or_literal
Report-6 (C),F10,,"=IF(I10=""C"",H10,"""")+IF(K10=""C"",J10,"""")+IF(M10=""C"",L10)+IF(O10=""C"",N10)+IF(Q10=""C"",P10)+IF(S10=""C"",R10)+IF(U10=""C"",T10)+IF(W10=""C"",V10)+IF(Y10=""C"",X10)+IF(AA10=""C"",Z10)+IF(AC10=""C"",AB10)+IF(AE10=""C"",AD10)+IF(AG10=""C"",AF10)+IF(AI10=""C"",AH10)+IF(AK10=""C"",AJ10)+IF(AM10=""C"",AL10)+IF(AO10=""C"",AN10)+IF(AQ10=""C"",AP10)+IF(AS10=""C"",AR10)+IF(AU10=""C"",AT10)+IF(AW10=""C"",AV10)+IF(AY10=""C"",AX10)+IF(BA10=""C"",AZ10)+IF(BC10=""C"",BB10)+IF(BE10=""C"",BD10)+IF(BG10=""C"",BF10)+IF(BI10=""C"",BH10)+IF(BK10=""C"",BJ10)+IF(BM10=""C"",BL10)+IF(BO10=""C"",BN10)+IF(BQ10=""C"",BP10)",,0,formula_or_literal+cached_value
